"State","stateTaxRate","avgLocalTaxRate","combinedRate","Pop"
"California","7.2500","1.3100","8.5600","39613493"
"Tennessee","7","2.4700","9.4700","6944260"
"Rhode Island","7","","7","1061509"
"Mississippi","7","0.0700","7.0700","2966407"
"Indiana","7","","7","6805663"
"Minnesota","6.8800","0.5500","7.4300","5706398"
"Nevada","6.8500","1.2900","8.1400","3185786"
"New Jersey","6.6300","-0.0300","6.6000","8874520"
"Washington","6.5000","2.6700","9.1700","7796941"
"Kansas","6.5000","2.1700","8.6700","2917224"
"Arkansas","6.5000","2.9300","9.4300","3033946"
"Connecticut","6.3500","","6.3500","3552821"
"Texas","6.2500","1.9400","8.1900","29730311"
"Massachusetts","6.2500","","6.2500","6912239"
"Illinois","6.2500","2.4900","8.7400","12569321"
"West Virginia","6","0.3900","6.3900","1767859"
"Vermont","6","0.1800","6.1800","623251"
"South Carolina","6","1.4300","7.4300","5277830"
"Pennsylvania","6","0.3400","6.3400","12804123"
"Michigan","6","","6","9992427"
"Maryland","6","","6","6065436"
"Kentucky","6","","6","4480713"
"Iowa","6","0.8200","6.8200","3167974"
"Idaho","6","0.0300","6.0300","1860123"
"Florida","6","1.0500","7.0500","21944577"
"Utah","5.9500","0.9900","6.9400","3310774"
"Ohio","5.7500","1.4200","7.1700","11714618"
"Arizona","5.6000","2.7700","8.3700","7520103"
"Nebraska","5.5000","1.3500","6.8500","1951996"
"Maine","5.5000","","5.5000","1354522"
"Virginia","5.3000","0.3500","5.6500","8603985"
"New Mexico","5.1300","2.6900","7.8200","2105005"
"Wisconsin","5","0.4400","5.4400","5852490"
"North Dakota","5","1.8500","6.8500","770026"
"North Carolina","4.7500","2.2200","6.9700","10701022"
"South Dakota","4.5000","1.9000","6.4000","896581"
"Oklahoma","4.5000","4.4200","8.9200","3990443"
"Louisiana","4.4500","5","9.4500","4627002"
"Missouri","4.2300","3.9000","8.1300","6169038"
"Wyoming","4","1.3600","5.3600","581075"
"New York","4","4.4900","8.4900","19299981"
"Hawaii","4","0.4100","4.4100","1406430"
"Georgia","4","3.2900","7.2900","10830007"
"Alabama","4","5.1400","9.1400","4934193"
"Colorado","2.9000","4.7300","7.6300","5893634"
"Oregon","0","0","0","4289439"
"New Hampshire","0","","0","1372203"
"Montana","0","","0","1085004"
"Delaware","0","","0","990334"
"Alaska","0","1.4300","1.4300","724357"
